ache	-Bigram(tooth_@)	545.112724833365	1.69178304178478
pig	-Bigram(guinea_@)	536.137470519593	49.6722468855891
fuck	-Bigram(fuck_@)	534.461048620744	56.4723813535045
bad	Bigram(@_idea)	529.343384529585	129.895076401433
sad	-Bigram(super_@)	528.585555541686	0.0903583040283904
pain	Bigram(@_killers)	527.63466375453	35.1650690990782
bored	-Bigram(soo_@)	519.226227802314	5.2723734396913
hurts	-Bigram(arm_@)	516.450575056901	0.938511385522502
lose	Bigram(@_weight)	516.065687651648	82.5254102874223
bad	-Bigram(soo_@)	514.606260160004	3.16266412901333
miss	-Bigram(gunna_@)	514.022819634632	1.66900660349792
fail	-Bigram(gonna_@)	506.426310400105	4.9280487871543
terrible	Bigram(@_headache)	501.789638522105	1.72673707732491
bad	Bigram(@_weather)	501.10234345869	23.3336010921808
headache	-Bigram(terrible_@)	499.718655782397	1.71985139688804
headache	-Bigram(huge_@)	499.65148580814	1.40713615064261
stiff	Bigram(@_neck)	496.2604755730538	0
broken	-Bigram(heart_@)	489.606844669836	1.23077092507802
suck	-Bigram(does_@)	487.050842203663	20.4323050720152
damn	-Bigram(god_@)	483.859378644705	21.539815168734
broken	Bigram(@_heart)	478.161814332842	18.7069291062007
losing	Bigram(@_followers)	477.264547169965	2.08527109309697
bad	Bigram(@_luck)	475.707337395906	13.2733028156764
bored	-Bigram(sooo_@)	472.81596885789	19.9913592271777
crash	-Bigram(plane_@)	468.281574928084	2.32143214119845
fail	-Bigram(Epic_@)	466.788465830956	3.11788173303527
poison	Bigram(@_ivy)	465.158154266463	114.869646497325
bad	-Bigram(soooo_@)	457.323723604094	2.71909264694514
bug	Bigram(@_bite)	452.8298874874634	0
trouble	-Bigram(Having_@)	451.353223860364	0.939650366482781
bad	-Bigram(To_@)	440.792373771307	3.77641345817697
poor	Bigram(@_puppy)	436.095109044207	0.0779683299914041
burnt	-Bigram(sun_@)	426.567435386936	41.4507465974142
warped	Bigram(@_tour)	426.21143074609	180.61425288649
break	-Bigram(lunch_@)	424.658317752418	264.341401295408
sucks	-Bigram(weather_@)	424.315040861878	12.7155967769047
urgent	Bigram(@_care)	419.991758958845	0.205103876361423
loser	-Bigram(Another_@)	419.925342911443	7.33896533387741
hurts	-Bigram(foot_@)	418.556171724468	1.8525145281606
poor	Bigram(@_girl)	417.28500860924095	0
sick	-Bigram(Still_@)	416.562825711312	8.00427638993225
miss	-Bigram(...i_@)	414.012395445075	0.493457657316352
sucks	Bigram(@_ass)	413.258463673266	6.16923451344837
miss	-Bigram(ima_@)	413.073126503147	0.853061214739199
hurts	-Bigram(heart_@)	410.352085966762	0.231087424519232
sad	-Bigram(soooo_@)	409.847334371323	0.0263474892581793
crap	-Bigram(holy_@)	407.68574880428	219.571960770146
tired	-Bigram(Sooo_@)	404.688157825691	23.3367505868939
cold	Bigram(@_outside)	403.547274167239	31.9356418163671
wrong	-Bigram(Whats_@)	402.605220241701	1.94037321675006
